10290,-2683,-27565142,-27608070
5049,8523,43032627,43032627
-19308,22517,-434758236,-434758236
-7613,29040,-221110560,-221081520
31620,-6087,-192470940,-192470940
18470,14138,261128860,261128860
-7081,10963,-77629003,-77629003
-27800,21018,-584300400,-584300400
7902,21972,173622744,173622744
-14024,23930,-335594320,-335594320
5844,26493,155248980,154825092
-17382,-19948,346736136,346736136
30455,6326,192658330,192658330
-2568,28965,-74382120,-74382120
-21096,-5808,122525568,122525568
-15959,28731,-458518029,-458518029
-7176,5000,-35880000,-35880000
11522,21453,247181466,247181466
1368,-27702,-37896336,-37896336
524,28772,15076528,15076528
-16383,9507,-155753181,-155753181
-12417,-6793,84348681,84348681
-32727,16992,-556369056,-556097184
-9208,-29492,271562336,271562336
29196,11606,338848776,338848776
15235,1661,25303674,25305335
32267,-9417,-303858339,-303858339
-19780,-21655,428335900,428335900
22318,3214,71678628,71730052
-11323,-26807,303535661,303535661
25057,15030,376606710,376606710
-7026,-23276,163537176,163537176
-13250,-23970,317602500,317602500
-2883,30201,-87039282,-87069483
-31034,16387,-508554158,-508554158
-11915,24732,-294681780,-294681780
14293,-12573,-179907057,-179705889
795,-31783,-25267485,-25267485
19896,-13226,-263144496,-263144496
-10076,-17994,181307544,181307544
-2897,29453,-85325341,-85325341
23974,-24376,-584390224,-584390224
6582,-16080,-105838560,-105838560
23445,-27706,-649567170,-649567170
25716,28615,735863340,735863340
24693,-21392,-528232656,-528232656
17447,-1162,-20273414,-20273414
-18319,-14186,259873334,259873334
-6442,-24069,154667394,155052498
28554,-30870,-881461980,-881461980
14264,23907,341009448,341009448
20962,16606,348094972,348094972
-8938,-5253,46951314,46951314
-5938,4155,-24605910,-24672390
19336,-15005,-290136680,-290136680
-31688,-11081,351134728,351134728
-22554,10954,-247056516,-247056516
11628,10293,119687004,119687004
-8003,5574,-44603148,-44608722
-19468,27627,-537842436,-537842436
-23635,16830,-397760220,-397777050
-25463,-20431,520234553,520234553
23160,11611,268910760,268910760
15289,-9186,-140444754,-140444754
13097,4362,57059322,57129114
-26269,-30410,798870700,798840290
5669,-5915,-33532135,-33532135
-32369,4324,-139963556,-139963556
-19340,29862,-577531080,-577531080
32458,-28944,-939927456,-939464352
30259,12145,367289090,367495555
-8301,-7764,64456728,64448964
-30619,20756,-635527964,-635527964
-20485,-24045,492561825,492561825
-9951,-9328,92822928,92822928
-18429,12688,-233839840,-233827152
4179,-31352,-130988656,-131020008
-29987,-22884,686199624,686222508
-24840,-12949,321653160,321653160
28323,-7933,-224678426,-224686359
-21448,-4370,93727760,93727760
29079,31722,922444038,922444038
10007,-6213,-62173491,-62173491
24463,-12445,-304442035,-304442035
-17609,29139,-513574875,-513108651
-15469,-830,12840100,12839270
-11671,1953,-22793463,-22793463
-5279,-9115,48118085,48118085
-25990,-5846,151937540,151937540
-7729,3374,-26023662,-26077646
507,3932,1993524,1993524
28863,-5788,-167059044,-167059044
-20871,14323,-298935333,-298935333
10403,-29641,-308325682,-308355323
5096,-8735,-44513560,-44513560
21316,-11117,-236969972,-236969972
22172,15812,350583664,350583664
-1327,23947,-31394517,-31777669
26291,21327,560686830,560708157
-4147,32263,-133246190,-133794661
-3780,-9683,36601740,36601740
-18424,23285,-429002840,-429002840
24311,20555,499712605,499712605
-23006,-14163,325833978,325833978
-8695,-4348,37805860,37805860
-15682,26564,-416576648,-416576648
22905,-19919,-456244695,-456244695
-10239,-28399,290777361,290777361
32459,23428,760824300,760449452
30054,25089,754024806,754024806
-18532,24114,-446880648,-446880648
-6773,-18413,124711249,124711249
12422,-930,-11552460,-11552460
13583,12181,165454523,165454523
-10698,12612,-135124968,-134923176
12047,8052,97002444,97002444
22268,-19307,-429928276,-429928276
24417,-22204,-542155068,-542155068
6846,2302,15759492,15759492
4144,-23483,-96937824,-97313552
20625,26449,545510625,545510625
21491,-20081,-431540690,-431560771
-7451,-14003,104336353,104336353
-4488,10548,-47339424,-47339424
31885,-4998,-159366228,-159361230
29448,10609,312413832,312413832
-30076,20234,-608557784,-608557784
10557,-29503,-311492674,-311463171
15296,10823,165548608,165548608
8108,-3842,-31150936,-31150936
31218,32116,1002597288,1002597288
7406,-20667,-153059802,-153059802
-4730,421,-1991330,-1991330
-19668,-6174,121529016,121430232
1720,12420,21362400,21362400
11710,28903,338454130,338454130
-3291,19832,-65267112,-65267112
-27148,-5183,140708084,140708084
-25954,19494,-505947276,-505947276
-18515,-20120,372501680,372521800
-21608,-3896,84184768,84184768
8645,-8586,-74225970,-74225970
-28379,-20402,578988358,578988358
7673,20948,160734004,160734004
30123,-13371,-402774633,-402774633
-18600,-24014,446660400,446660400
18774,15346,288105804,288105804
-16928,11791,-199598048,-199598048
-19328,-17490,338046720,338046720
-18096,5496,-99455616,-99455616
9719,-13602,-132197838,-132197838
-1836,11334,-20627880,-20809224
-15244,-23654,360581576,360581576
-31076,5377,-167095652,-167095652
-32228,17003,-547972684,-547972684
12287,10299,126543813,126543813
2145,25117,53875965,53875965
32303,-31368,-1012778616,-1013280504
-15331,-32485,497995050,498027535
-16078,1145,-18427630,-18409310
-7873,-9775,76958575,76958575
27,17687,477549,477549
18660,26376,492176160,492176160
3375,-24739,-83098301,-83494125
-21974,-6471,142297290,142193754
28171,13100,369040100,369040100
29094,-11454,-333242676,-333242676
29524,-10229,-302000996,-302000996
-14653,27277,-399717158,-399689881
10018,12146,121678628,121678628
-25615,-23037,590092755,590092755
22181,-28362,-629097522,-629097522
-26637,17886,-476447268,-476429382
-29903,6996,-209313324,-209201388
10275,-15420,-158425080,-158440500
4664,-22058,-102878512,-102878512
31503,22559,710676177,710676177
-1194,-10487,12521478,12521478
30777,825,25391025,25391025
2816,-76,-214016,-214016
-11940,-32632,389626080,389626080
-10764,16534,-177971976,-177971976
-4858,19491,-94687278,-94687278
-24839,30168,-749342952,-749342952
-1554,-24095,37443630,37443630
30737,14507,445901659,445901659
-7228,32011,-231375508,-231375508
11695,-5928,-69327960,-69327960
22512,-26327,-592673424,-592673424
18445,-24222,-446799012,-446774790
-17403,29654,-516068562,-516068562
5680,15626,88505664,88755680
17731,18202,322721460,322739662
-23614,22238,-525128132,-525128132
-10231,4414,-45159634,-45159634
-17842,20111,-358820462,-358820462
